index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown']
comedy_26.jpg2,#7aaecb',122,174,203,72.10738201,26.91350338,24.17054367,38.59452979,92.59824245,126.2140657,78.69010227,118.7419733,84.67303334,129.9839853,30.23965268,44.92474101,91.35609907,130.0348532,104.8558243,80.4996573,115.6442126, 77.52995365826311]
comedy_19.jpg3,#918e8a',145,142,138,59.21409757,6.126869175,18.71829427,40.91950363,68.32986205,102.8527876,56.23996666,101.8807091,71.56277485,121.7006917,33.0437779,60.36409732,94.20885846,138.2798534,81.53153239,76.26396368,116.6037889, 51.295471902778594]
comedy_19.jpg2,#22252c',34,37,44,15.51660082,39.26578074,63.25824731,85.5000632,65.07078897,114.1895243,73.34936577,131.1640354,82.15484493,143.7132465,44.77615917,91.07173522,75.91294538,130.6171976,106.0221913,67.99717254,121.3943931, 57.55148624129278]
comedy_14.jpg2,#dbdbd6',219,219,214,87.31845818,33.79540008,9.924384075,12.9854991,86.45940089,109.1335872,65.87613636,94.83755512,80.73600283,117.4429662,49.23107211,50.16784971,111.2331264,146.9849547,81.37062564,91.6533796,120.6529135, 68.65255789904327]
comedy_14.jpg3,#8f968c',143,150,140,61.57986723,9.910473536,17.59928576,39.24421964,71.88327791,105.6393845,53.7886224,98.46117003,67.28498343,116.5566749,30.47938953,56.00729732,99.03218906,142.9672856,80.94510152,81.74125172,121.6704695, 53.481138222626754]
comedy_14.jpg1,#3b3531',59,53,49,22.9838386,31.18743922,55.19843383,77.45376652,57.79888586,105.4656761,62.46037684,119.9014616,74.66479928,135.3995443,41.70135708,86.53552253,82.64277995,135.9310984,94.43879015,70.0731664,121.8688856, 47.24887497616112]
comedy_12.jpg1,#7e6a87',126,106,135,51.21069025,19.77030787,35.50426795,55.67161471,65.43769609,104.3388662,74.71182958,123.4828109,90.71138242,144.315509,42.71409264,75.50508928,70.84067445,116.3085163,96.50166893,54.04708061,98.01098712, 56.43119471655632]
comedy_12.jpg2,#e2e1e2',226,225,226,89.63369594,36.05202519,11.94389117,10.38791982,88.56865828,110.5591604,69.72529066,97.67700829,84.48439322,120.4233662,51.37808328,50.5315398,110.5560714,145.0199317,84.00376477,91.09436191,118.5890163, 71.43889080426763]
comedy_12.jpg3,#23131a',35,19,26,12.66857395,46.50650395,70.27326717,92.40557625,57.88504055,108.3197292,76.25320285,134.6157945,88.65456621,150.6567928,56.01842771,101.8640518,73.80255049,129.3342885,105.6076406,64.20693133,118.7202295, 54.36423661195135]
comedy_22.jpg3,#36241e',54,36,30,19.37367,38.86003628,62.41035001,84.46604642,51.59089487,100.9991141,64.18610344,122.3935866,78.88151533,140.1850967,51.06860056,95.79420721,82.4881335,136.653515,93.98311549,68.8989087,121.7352622, 43.975587323569926]
comedy_22.jpg2,#bb9279',187,146,121,67.63669753,24.76654404,26.54217816,42.70310992,55.87516376,84.04659573,46.5425533,88.92309439,72.80221181,119.5765265,51.6454516,73.88632601,104.3034791,147.1430814,61.98975379,80.3813739,117.7320214, 37.11508505944694]
comedy_22.jpg1,#e4e1df',228,225,223,89.71917152,36.15249168,12.09436958,10.40020929,87.82059908,109.4473397,68.40956262,96.05197558,83.61199103,119.3544483,51.81640992,51.15664998,111.5465866,146.2384434,82.37071696,91.74032688,119.3666642, 70.47003475804209]
comedy_9.jpg3,#b2927c',178,146,124,65.53807463,20.60842127,23.59428282,41.39498698,58.50575826,88.27464239,47.22237908,90.65370595,71.16151073,118.7826028,47.25432024,70.28332878,102.6707938,145.9187224,65.69838612,79.96222348,118.1241175, 39.709989138805895]
comedy_9.jpg2,#dcdad8',220,218,216,87.1608557,33.59047691,9.531391736,12.91023189,86.20563427,108.9377512,67.05551095,96.31501775,82.16463495,119.17164,49.57466757,50.93602498,109.8813913,145.3526513,82.1539181,90.26367521,118.9821604, 68.78989739334577]
comedy_9.jpg1,#2a271f',42,39,31,16.74492106,38.32034346,62.26867773,84.49275298,58.95816571,107.9104763,63.68347986,122.2579248,74.27466045,136.1969564,45.57348794,91.46142108,85.23175464,139.6969279,97.19712029,74.13693607,127.0527562, 49.27129417291298]
comedy_7.jpg2,#f9f9f6',249,249,246,97.86296039,44.29242223,20.2045447,2.637194718,94.50011001,113.2045856,72.94190546,95.40002229,87.36728723,118.8403984,57.96527399,50.49250992,117.8329247,150.3218468,84.45522946,98.00901559,122.6315175, 77.056298122279]
comedy_18.jpg2,#af9086',175,144,134,63.87042495,16.48210864,20.78218036,40.18547884,60.00336193,91.06922538,53.35303583,96.96614427,75.44303615,123.7422537,45.19113757,69.12492663,96.80107943,139.6313341,71.7547272,74.68726934,112.915292, 43.18922076122429]
comedy_18.jpg3,#3c3757',60,55,87,32.73641229,35.70744543,56.9276134,78.05571117,67.9241311,114.0179342,83.2326441,137.8802529,94.85690421,153.7167002,46.80303021,88.49101256,60.40420872,112.9767413,110.3841459,51.93436985,103.6935275, 62.87696666536701]
comedy_17.jpg2,#ba9069',186,144,105,69.16295831,30.32408386,32.47273719,47.05376656,53.94892285,80.83255225,39.67218075,82.4621231,68.62279201,114.8621777,54.99712867,77.03988836,110.5049794,154.1165146,55.13474445,86.14226932,123.8553852, 33.04236648167531]
comedy_1.jpg3,#ccbda5',204,189,165,78.53020864,27.55931409,14.13151164,26.77807935,73.67308795,97.95855463,51.63542538,85.96945005,71.17361057,112.0605382,47.5641107,58.60117282,111.6270126,151.4502531,68.7418847,90.10285206,123.5863712, 54.1813028915658]
comedy_1.jpg2,#6e4235',110,66,53,40.49438562,31.47380266,50.72035569,71.20210795,38.40782583,83.42724211,54.29363994,108.7547427,78.24242312,135.224685,54.60847432,92.74363348,88.30680611,138.3189219,76.04363818,66.88742304,114.7405943, 26.987649323355008]
comedy_1.jpg1,#dfdedc',223,222,220,88.50107997,34.92653497,10.84555715,11.55793636,87.40988897,109.6868806,67.80734139,96.2284628,82.70092816,119.0108391,50.4155318,50.48709462,110.8641498,145.956654,82.57963087,91.29142249,119.5078126, 69.96478581766314]
comedy_10.jpg2,#e5e5e2',229,229,226,90.87859885,37.31267745,13.25225237,9.265726831,89.26237606,110.6300139,68.73200745,95.57877595,83.41155641,118.4283757,52.11379419,50.04127312,112.9221939,147.4314465,82.81344537,93.30767431,120.6958937, 71.70377667039217]
comedy_10.jpg3,#979080',151,144,128,60.70246221,11.39206527,20.09454979,41.133127,65.86095142,99.18735928,49.58172656,95.23064547,66.87948448,116.5932134,35.7111759,61.75199824,99.92536325,144.3436615,75.11227603,80.76115272,120.9851559, 47.05575484462189]
comedy_10.jpg1,#31241a',49,36,26,18.44126525,39.4682197,63.0872522,85.1701414,53.31298286,102.6141049,62.43123342,121.0363914,75.96354979,137.6178441,49.94301856,95.01063214,85.43700806,139.7844922,93.83170602,72.43818801,125.2732942, 44.58536764390693]
comedy_5.jpg3,#e4e3e0',228,227,224,90.24984846,36.68538332,12.63213992,9.89310614,88.56838851,110.0988528,68.34108065,95.57915347,83.21434455,118.5744553,51.80979049,50.40697611,112.4165078,147.0900184,82.48166297,92.73069238,120.3243934, 71.04173131794202]
comedy_5.jpg2,#c8ae8a',200,174,138,75.84882491,29.26117217,22.93998749,35.44111825,66.33383645,90.56044778,43.79263266,80.75215454,67.64698182,110.0874444,50.94310308,66.08160315,113.7671825,155.3033395,60.40664696,90.85135985,126.0047004, 45.715194917624345]
comedy_5.jpg1,#9e5246',158,82,70,57.38648631,38.25465883,50.13944322,67.23037583,30.55591492,68.40459945,56.41329763,104.3108964,86.84555385,138.9796052,66.32274449,98.10659385,92.98126825,138.5885447,65.80816946,66.01506389,107.8615433, 21.063482175758494]
comedy_21.jpg2,#e0dedb',224,222,219,88.56152253,35.00190572,10.9750275,11.58233704,87.10067894,109.2174645,67.36808446,95.66981197,82.47164117,118.710677,50.66848042,50.82665862,111.1914553,146.3430313,81.96639018,91.47126817,119.7025026, 69.59453207984724]
comedy_21.jpg3,#3e2f20',62,47,32,24.4364542,35.38891427,58.49339496,80.3829136,50.92262714,99.02933788,56.98621651,115.2491637,72.24237004,133.175885,47.91871485,91.72397957,88.53122199,141.9632603,88.1672659,73.69003972,125.3589205, 39.908350542287145]
comedy_21.jpg1,#debc57',222,188,87,94.64000081,59.45204489,54.47999602,58.98544604,72.16853692,84.03687252,28.97855376,49.82124883,61.06221233,92.00419693,75.36175048,85.24411921,143.3563571,185.9041351,33.89627742,118.0732315,152.0409269, 49.4246029162872]
comedy_6.jpg2,#391a21',57,26,33,21.50825314,42.90149482,65.8403117,87.61044359,49.3516709,99.26686879,72.55140984,129.912475,89.10217887,150.0140585,57.64937304,101.7813112,73.8036307,128.0692529,98.38225683,59.71652066,113.3179435, 46.54335275567427]
comedy_6.jpg3,#dbdad7',219,218,215,87.06504441,33.50370978,9.482554073,13.0486972,86.2641785,109.0631703,66.59442038,95.84963079,81.5663576,118.5406378,49.26572283,50.56553123,110.2593802,145.8746271,81.93922091,90.69220592,119.5797775, 68.70216086019616]
comedy_6.jpg1,#bd653a',189,101,58,72.79354753,50.62686575,56.6196813,69.53238065,31.38605928,55.76918194,47.90167135,88.78227973,84.32379036,130.6806306,77.34009103,103.6585799,112.4130919,156.0187887,46.21348851,83.71429591,120.5551644, 15.853082601553975]
comedy_0.jpg1,#4c3a26',76,58,38,30.52795481,32.10797404,54.31055055,75.88225618,48.71361282,95.29782553,51.89476742,109.6544886,69.30882872,129.2650864,47.03212762,89.10008213,91.68934358,144.1119063,82.47201111,75.05446515,125.375653, 35.3641624608021]
comedy_0.jpg2,#cbae6f',203,174,111,80.86236071,40.75899333,36.60657961,45.5843448,65.5838554,86.07794811,32.64558132,67.67771897,61.35847173,101.225681,59.39341087,73.49041602,125.5009409,168.1639011,48.12181064,101.5468819,137.0669738, 42.76791238400659]
comedy_0.jpg3,#ebe2cf',235,226,207,90.71367862,37.97875415,16.18074574,14.3306537,85.18240271,104.9825872,61.41371445,87.0830908,78.42597782,112.7658935,54.16534135,53.88423643,117.7051965,153.6581465,74.23764486,96.54786448,125.0156348, 66.43627781475317]
comedy_3.jpg1,#e6e6e5',230,230,229,91.26907313,37.68616283,13.57307262,8.747695776,89.76845983,111.0915599,69.80664685,96.57878302,84.41084229,119.3684137,52.46038043,50.08515224,112.483314,146.68024,83.69958599,92.95530777,120.0085874, 72.41162614316848]
comedy_3.jpg3,#433428',67,52,40,25.58194663,32.55982526,55.82946994,77.80130666,51.61488782,99.26232103,57.51766749,115.3078579,72.79766742,133.3497931,45.92916289,89.5216051,86.81247367,139.8687274,88.31529826,71.85054273,123.2097775, 40.404747079200284]
comedy_3.jpg2,#d4ab5e',212,171,94,85.18442276,48.91098658,45.57432864,53.10787879,63.22583179,79.75913929,30.12734657,61.97330909,63.3875033,100.9580195,68.00010149,82.17397599,131.289889,174.0147964,38.67021776,105.9454115,140.8286833, 40.515619183084574]
comedy_11.jpg1,#16110d',22,17,13,6.211603766,48.25559559,72.34330924,94.62397922,61.91674912,112.4493296,72.62268289,131.7535223,81.89704391,144.6195444,53.58807805,100.3534706,82.0392953,137.861536,105.6140451,73.78418214,128.2037145, 55.867292371607626]
comedy_11.jpg3,#dcdcdb',220,220,219,87.73684935,34.15428781,10.04445709,12.2757836,87.21403695,109.9309307,67.87179653,96.85316755,82.57660743,119.3120585,49.60535409,50.19861307,110.0570804,145.3002298,83.07888086,90.66038301,119.1501247, 69.82535866362078]
comedy_11.jpg2,#695c4b',105,92,75,41.61172711,18.20422361,39.69056385,61.31947053,54.67229296,96.46116758,48.96326346,103.437515,66.45214959,123.4141013,38.07939582,76.39813346,92.76749384,142.3652323,78.84376519,75.03847778,121.9965096, 37.992588107420985]
comedy_8.jpg1,#e5e4e1',229,228,225,90.60223705,37.03746406,12.98171029,9.545181851,88.82667609,110.2184909,68.54068054,95.55567692,83.40214493,118.5834336,52.09562,50.40178112,112.658199,147.228137,82.5489909,92.96021597,120.4116938, 71.30460799702432]
comedy_8.jpg2,#1c1814',28,24,20,9.284986699,45.15277613,69.22304791,91.49625312,60.77648459,110.9389984,70.07078066,129.0464279,79.79388905,142.2987773,51.10422978,97.66445115,82.52942699,137.990166,103.1211531,73.3901119,127.4383363, 53.76304724206083]
comedy_8.jpg3,#cb8d61',203,141,97,74.16327399,39.11036321,40.20643829,52.26637528,48.57522909,71.21068398,41.35330985,80.79472653,74.50219703,118.7300249,64.83091975,86.02452481,113.7088785,156.3653929,47.74764816,87.09540197,122.947652, 28.692700671888673]
