index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
Horror_19.jpg1,#dcdcdd',220,220,221,87.78814097,34.2055631,10.09567228,12.22455056,87.47933041,110.2829818,68.77919063,97.87820362,83.41520701,120.2510706,49.68802093,50.26416341,109.3586703,144.3939045,83.90966021,90.0631665,118.3627065,70.29923272
Horror_19.jpg2,#0d1314',13,19,20,5.923620746,48.20629699,72.30654018,94.59311733,66.73840873,117.0965963,75.13374456,134.087986,82.27332657,144.9823444,51.07796251,98.15773587,80.7000204,136.5450778,109.305242,74.36370895,128.7688058,60.193636
Horror_19.jpg3,#334345',51,67,69,27.96953361,27.27268887,50.99666157,73.15710507,67.95428403,114.1816681,65.27303134,121.2833894,72.7954326,132.6947456,31.6427838,77.41419536,82.5504068,134.856265,99.68658548,72.81514331,123.4485676,55.77617697
Horror_3.jpg2,#5f4c41',95,76,65,35.80295478,22.69363796,45.21066393,67.02418843,51.35538653,95.71227515,53.89734296,109.4141563,71.58659053,129.7637609,41.89421731,82.28819725,87.55284711,138.2983345,82.52385978,70.16800748,118.8708325,37.56434803
Horror_3.jpg3,#14110e',20,17,14,5.632816049,48.37700317,72.48209136,94.7709402,62.95373703,113.4670747,73.16995684,132.2886104,81.96894965,144.7160367,53.17085205,100.0242069,81.83334051,137.6873874,106.4390778,73.99990704,128.4430414,56.81805682
Horror_3.jpg1,#dddcdc',221,220,220,87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159,69.9183396
Horror_24.jpg1,#dadbdb',218,219,219,87.33144905,33.7476161,9.632987969,12.67436313,87.27868064,110.2912979,68.13574565,97.44925981,82.64181551,119.6215057,49.08447149,49.90174109,109.4915116,144.7796255,83.63904362,90.25915897,118.8769185,69.95157072
Horror_24.jpg2,#58706f',88,112,111,46.31896976,12.41386582,33.64457902,55.41408154,72.67587532,113.3089302,59.51802675,110.5180822,67.48197591,122.7483665,20.95840385,61.30141339,90.16983886,138.1371242,92.57158656,77.61174031,123.0616349,56.54574881
Horror_24.jpg3,#151b1a',21,27,26,9.6431846,44.55195888,68.63400656,90.91269444,65.93796274,115.7950832,71.85089228,130.6044886,79.08534722,141.5792381,47.56402681,94.54863726,82.02260831,137.4251042,106.437465,74.72479333,128.6603233,58.07453816
Horror_27.jpg1,#dddcdc',221,220,220,87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159,69.9183396
