index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
animation_20.jpg1,#dad7d7',218,215,215,86.2191673,32.64535499,8.576707306,13.83016761,85.52416488,108.6635523,67.42508191,97.40837111,82.65996819,120.2785839,49.09969271,51.43253924,108.4314036,143.9744823,82.63818723,88.85437449,117.74932,68.35697466
animation_20.jpg3,#257296',37,114,150,53.26959219,29.54720169,43.16186236,61.74829035,89.23332019,130.5033211,83.20988499,131.8898394,86.49150531,139.6070791,25.60248285,60.5143733,76.79167608,122.0736805,114.6643048,71.99406492,115.268368,77.15275699
animation_20.jpg2,#403234',64,50,52,23.37728065,31.94409962,55.7488075,77.92583922,55.53206381,103.4706326,65.88630474,122.8945917,79.73363632,140.1121098,45.00132233,89.21366673,78.02251533,131.2765072,95.48097493,64.79692523,116.873766,46.97359952
animation_23.jpg1,#deddde',222,221,222,88.21889695,34.63744176,10.53143272,11.8005634,87.54972656,110.1009771,68.97055388,97.79742296,83.76808124,120.4114429,50.24648466,50.59419256,109.5783603,144.4646347,83.76840189,90.16955578,118.2452754,70.412473
animation_23.jpg2,#2a2877',42,40,119,56.58307282,61.5069704,76.93542005,94.48992937,85.82556744,128.227094,113.3582426,165.9469747,125.6642075,183.3265971,71.81163626,106.9126971,29.76359431,82.53907731,135.0641488,34.25539682,82.86641975,87.48111557
animation_23.jpg3,#9b596c',155,89,108,54.60729013,30.55970011,43.43055672,61.65526792,46.13213859,83.58867709,70.27485316,118.2049021,94.82654224,147.9748909,59.21861164,91.11713574,75.67164651,120.4341497,83.3509743,50.29468508,93.5427899,40.96117043
animation_10.jpg2,#47211b',71,33,27,27.88985604,41.54209368,63.45533943,84.78376839,40.70713515,90.46402875,63.57820127,120.6026804,83.62960725,143.6400352,59.10202164,101.71635,82.81598802,135.8632416,87.92699098,65.13016059,116.9261022,35.83962446
animation_10.jpg3,#d8d4cf',216,212,207,85.14611894,31.65032535,7.972028633,15.20380093,83.91628217,107.1477589,64.58115804,94.91625019,80.23822628,118.134805,48.45478611,51.83588091,109.4933227,145.8113982,80.18331549,89.61126144,119.317275,66.24650432
animation_10.jpg1,#ae7b3f',174,123,63,69.84854524,42.31989862,47.69939051,61.30029252,45.80486059,71.90963065,31.50002046,76.95056235,66.65519877,113.3163119,64.84852056,89.41080007,118.0724496,163.4821871,44.67029787,92.64181181,131.7886281,22.27244153
animation_3.jpg1,#7f9968',127,153,104,66.89373046,29.99565845,34.12809887,49.44218065,76.35968466,108.1452639,35.24386969,80.68742651,45.18625807,94.9230009,35.12688897,56.68647814,119.2464272,165.4188173,71.76013939,102.0106162,143.4602762,53.33789328
animation_3.jpg3,#1d4d26',29,77,38,42.82808133,40.41935835,58.46053952,78.11212979,76.7049965,119.3770518,46.69220859,102.5065036,44.3271259,106.374704,33.32213044,73.7620028,112.0059797,164.3337107,91.1610843,101.1018099,150.6868895,57.8124971
animation_3.jpg2,#dbddd7',219,221,215,87.8726899,34.37973986,10.60931271,12.60408039,87.22653335,109.7916689,65.80978134,94.35796228,80.32739344,116.648916,49.23406447,49.40783057,112.1148324,147.8400803,81.4856238,92.65441999,121.6080611,69.24706906
animation_15.jpg1,#cf663d',207,102,61,79.21798585,56.86204685,61.13995445,72.38493454,31.35004397,48.74754217,53.70550099,90.29352687,91.06061192,135.4054603,84.3483904,109.1864169,114.8760632,156.7247245,44.57636788,84.75658282,118.8016552,21.47435985
animation_14.jpg3,#2a80b3',42,128,179,61.77213263,35.09519178,44.07650221,60.28999704,94.68070577,134.1077,90.96511137,137.3712924,94.96219265,145.8649931,33.33947718,60.3853426,73.63707577,115.4776467,119.8633223,69.95059423,109.6696913,83.60549295
animation_15.jpg2,#3e251b',62,37,27,23.51665558,39.24427298,62.11749771,83.88440316,46.63274417,95.96826265,61.32730419,119.3066776,78.48977603,139.2879872,53.76467761,97.46663938,84.88228668,138.5432406,89.50815172,69.29364421,121.5008633,38.92863903
animation_26.jpg3,#1e2541',30,37,65,25.03682261,43.00131351,65.37183377,86.88711027,71.33037947,119.5508826,85.94744106,142.394737,94.9332229,155.4111335,49.09526074,93.25641542,61.85835452,116.4464307,115.8087735,57.51198932,110.7683806,66.85917186
animation_26.jpg2,#d7dbde',215,219,222,87.2102161,33.66544533,9.710204579,12.98592136,88.24262276,111.701214,69.50688358,99.13727947,83.40513496,120.5728988,48.42293374,48.98859358,108.529987,143.627662,85.47533953,89.75158768,118.3073883,71.11057656
animation_26.jpg1,#5984aa',89,132,170,59.10550984,25.0715442,34.83197251,52.8070787,86.30654115,124.6861335,81.8968297,128.1279748,88.79546153,139.8092263,30.03565037,58.7912692,76.87102,119.6058402,109.5268152,68.40604572,108.7670325,74.23769285
animation_13.jpg2,#dedcd9',222,220,217,87.85305848,34.29426418,10.27613921,12.28405909,86.58797527,108.9884193,66.9825379,95.73325842,82.10872894,118.706148,50.10760596,50.86863232,110.7126829,146.0741887,81.84879936,91.01869178,119.5387035,69.0743062
animation_19.jpg1,#1c2230',28,34,48,16.75246414,41.60796504,65.25597774,87.34542174,68.01764974,117.1927002,78.50687784,136.061793,86.78244719,148.1888239,46.42742633,92.45708042,71.31465629,126.2357946,110.6081515,65.21835619,118.8389266,61.75106211
animation_16.jpg1,#dcdbda',220,219,218,87.4583873,33.87698806,9.772074011,12.559706,86.77566082,109.5228639,67.68996654,96.83979059,82.57746433,119.4742779,49.60304792,50.57686466,109.7920955,145.0983846,82.82489724,90.31007261,118.867866,69.42573739
animation_16.jpg2,#846050',132,96,80,48.08745422,21.59700786,38.85484721,59.2362377,46.3752999,86.06453653,49.48268924,101.5298376,73.05112159,127.6299822,47.57205415,81.95004031,92.37053562,140.2465344,72.06533906,70.77656929,115.6326868,30.3599886
animation_19.jpg2,#dadddf',218,221,223,87.95512302,34.38954914,10.34483802,12.1480189,88.41738313,111.4488068,69.41151803,98.50333236,83.49680071,120.2502355,49.20569036,49.23480645,109.3344022,144.2839157,84.96781498,90.37309494,118.6593886,71.22133853
animation_24.jpg2,#3d80c0',61,128,192,65.48892658,39.6990172,47.21407727,62.19151742,95.36125548,133.7946807,97.16169527,143.0841549,103.392569,154.0229985,42.39533845,66.69774936,66.71994589,106.6560058,123.2243998,63.45855028,101.2053085,86.25254764
