index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
action_20.jpg2,#1b1a1a',27,26,26,9.386034044,44.21596814,68.33431653,90.62944242,62.91698899,112.9370677,71.96296371,130.7007947,80.95733143,143.3262517,49.46496974,96.15206222,80.20441911,135.6180351,105.1390979,71.94899683,125.9883679,55.93587013
action_20.jpg3,#d9dada',217,218,218,86.97623261,33.39241895,9.278034785,13.02945399,87.02772705,110.1822715,67.95155335,97.48566284,82.46558299,119.6230789,48.80197195,49.9296315,109.2506691,144.6450806,83.58728997,90.03325693,118.7969223,69.69896919
action_21.jpg1,#090905',9,9,5,2.881769498,51.22214035,75.33340075,97.62505392,65.06202732,115.7782204,75.12761734,134.3911097,82.93594758,145.8947879,54.80668556,101.8627723,82.50347815,138.6294804,108.8976736,75.71980817,130.3978863,59.30634303
action_21.jpg2,#4d4f3e',77,79,62,34.63875866,23.22207312,46.00111361,67.88635949,59.87031175,103.9892855,51.29739708,107.6633325,63.55594581,122.903658,34.27457089,76.67925583,92.86596565,144.2230427,85.65243794,78.35339791,127.4078292,43.96109495
action_21.jpg3,#dcdcdc',220,220,220,87.76087461,34.17587437,10.0564743,12.23912576,87.34543131,110.106182,68.32499269,97.3656707,82.99512353,119.7811562,49.64366258,50.22829457,109.7072342,144.8469264,83.49387837,90.3609123,118.7561554,70.06091005
action_22.jpg1,#998664',153,134,100,60.60352503,21.31875532,29.66561118,48.044569,58.25923683,90.84848607,38.99934983,87.07039266,61.87535305,112.2272172,43.47683289,70.09624503,106.4790328,152.2009685,64.58673511,85.31445441,126.3844991,37.06745091
action_22.jpg2,#41373c',65,55,60,24.91434718,29.85788316,53.73597201,75.94427758,58.1316654,105.4912199,66.94841022,123.4840196,79.92574263,139.9734408,42.43134983,86.57095071,76.76711291,129.6904387,96.84091644,64.15750955,115.896735,49.17598099
action_22.jpg3,#dfdedd',223,222,221,88.52186509,34.94029688,10.83349882,11.49756516,87.53867773,109.861081,68.25636349,96.74073764,83.1142614,119.4773532,50.44721923,50.5101984,110.5155596,145.5049979,82.99401089,90.99252153,119.1146301,70.19646247
action_23.jpg1,#dddbd7',221,219,215,87.48413978,33.94294689,9.997541626,12.73534544,86.20681064,108.7024863,66.34021583,95.25415149,81.51662964,118.2408489,49.80915606,50.88379927,110.8282025,146.3953073,81.37655282,91.09886478,119.8544779,68.58559446
action_23.jpg2,#736753',115,103,83,46.09097826,16.12497087,35.98621401,57.32879092,56.19100143,96.0264841,46.54586906,99.7994758,64.60524742,120.3039493,37.27149305,73.3532201,95.66095095,144.2991391,76.1659774,77.32648123,122.9219099,38.17589513
action_23.jpg3,#1b1211',27,18,17,7.815212401,47.4224107,71.46908922,93.73071178,60.01119978,110.5764456,73.08637285,132.0464366,83.56692369,146.0823744,54.26686535,100.7844387,79.93128718,135.6512499,104.9313395,71.04182716,125.4541736,54.6374089
action_24.jpg1,#757874',117,120,116,50.13774833,4.400054672,27.76258399,50.00194519,66.44691799,104.9626198,56.00020526,105.78709,69.31630516,123.0429545,28.85678481,63.77979989,90.78947131,137.5604628,85.09105681,74.71366604,118.5847836,49.99901398
action_24.jpg2,#1e1a19',30,26,25,9.933467608,43.96120312,68.06056846,90.34716035,61.1533882,111.2072889,71.05598217,129.818415,80.87611217,143.2021837,50.20217274,96.71641786,80.48375861,135.8434425,103.7474378,71.50451958,125.5115062,54.30528697
action_24.jpg3,#dbdcdb',219,220,219,87.66233166,34.08097736,9.975992219,12.35642351,87.3994366,110.2270237,67.86782234,96.90181723,82.39923139,119.1507907,49.32879969,49.84591514,110.0828538,145.3682926,83.27846987,90.78523987,119.3517643,69.97008177
action_25.jpg1,#352126',53,33,38,18.67281615,39.60970294,63.18516714,85.24906611,53.98136599,103.4783754,70.89974829,128.5568841,85.17701541,146.3162401,52.07448555,96.87266294,75.06543471,129.4583623,99.32129133,62.63450521,116.106457,48.70424189
action_25.jpg2,#dedede',222,222,222,88.46967069,34.88467045,10.76527038,11.53032968,87.85182284,110.3304995,68.70002431,97.30000983,83.35211513,119.7834407,50.20954594,50.1859428,110.1916116,145.1197623,83.60574619,90.81729193,118.9218898,70.57146144
