index,['html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown']
impressionism_20.jpg1,['#dfdeda', (223,222, 218),88.46912507,34.92275825,10.94477275,11.74692374,87.15986165,109.3431781,66.91254065,95.20401957,81.87919029,118.0803644,50.37001625,50.45932259,111.5650753,146.8607803,81.75330906,91.8942618,120.2956905, 69.50990014496307]
impressionism_26.jpg1,['#8c7978', (140,121, 120),53.09953531,7.923374104,26.38355355,48.12864395,60.10291587,97.01370697,57.07857016,105.5366123,75.35493144,127.8268321,38.09113513,69.58622159,88.37446735,133.9603676,80.71548162,69.11970742,111.6461197, 44.97370095756177]
impressionism_26.jpg3,['#bdb2ac', (189,178, 172),73.50145339,20.42522277,6.886449769,27.21153019,73.84436947,101.5096804,58.61408859,96.26741278,75.99158977,119.7230912,42.43010493,57.07848183,102.0654287,141.8630202,77.4298849,81.9469063,116.3118443, 56.3440079826171]
impressionism_26.jpg2,['#4a2923', (74,41, 35),27.43707275,37.51382736,59.80014077,81.33686212,43.56335153,92.50167634,62.13365616,119.1660908,81.24390958,141.1914681,54.8736119,97.47354959,82.47164657,135.3595845,87.80628096,65.24698281,116.8562381, 36.719469344961304]
impressionism_12.jpg1,['#768e72', (118,142, 114),59.50604848,18.9087549,28.26314162,47.34505124,74.19883729,109.2450887,44.79932707,92.12148621,54.19880571,105.8510075,26.5940656,55.10262903,107.7328258,153.9732087,79.10969143,91.79530559,134.0946745, 53.35059305629971]
impressionism_8.jpg2,['#b09c2d', (176,156, 45),86.2403424,58.44742242,58.99308268,67.63338765,68.27946496,86.15782945,14.89941066,52.39053349,50.83002492,88.59250559,71.82070243,87.69368407,142.2749792,187.9837388,37.51216181,118.481977,156.7484287, 44.26885863046247]
impressionism_8.jpg3,['#dddbcf', (221,219, 207),87.48750906,34.25922259,11.44384796,14.21008137,85.29586299,107.3777212,62.77149533,91.15386273,78.28343104,114.5573319,49.8749038,51.02806641,113.7049162,150.0404134,78.0826208,93.60047926,123.0411159, 66.85622758928913]
impressionism_8.jpg1,['#515839', (81,88, 57),40.80999755,25.99146379,45.87106808,66.78009278,61.35903277,103.3611744,42.84403413,99.4413195,55.06573763,114.2376075,34.79832037,74.59111182,101.8696331,152.7971258,80.00932672,86.48102702,134.4987346, 42.482227356657475]
impressionism_16.jpg2,['#708961', (112,137, 97),59.73834028,25.05169866,34.32097824,52.16807922,73.50122443,108.3690652,38.33984431,87.29773395,47.5825858,100.5565854,30.25089645,58.41751424,113.0172544,160.2566001,75.67207733,96.7601538,139.8990484, 51.46584172962646]
impressionism_16.jpg3,['#dadcd9', (218,220, 217),87.55132041,33.99333707,9.981141995,12.58546617,87.33320795,110.1811276,66.96196372,95.92713563,81.385851,118.0503365,48.99367355,49.45041966,110.81457,146.345643,82.6560263,91.51578424,120.3433188, 69.6566477970182]
impressionism_16.jpg1,['#344d2a', (52,77, 42),38.83333171,34.24401511,53.81321772,74.32107505,68.49168414,111.6144267,44.87183208,102.0806446,49.86107322,111.2439753,34.06116811,75.59487636,106.2071977,158.3884438,86.38611939,93.51163046,142.9504353, 50.02575143896918]
impressionism_22.jpg1,['#ad7131', (173,113, 49),71.01441163,47.43320573,53.54264856,66.87247183,41.12823678,66.43138513,33.35111237,77.91438741,70.13949672,116.5516686,70.35674,95.83807214,119.4569266,164.9962975,41.83961762,93.19625436,132.2465518, 17.85972649802172]
impressionism_22.jpg3,['#372921', (55,41, 33),20.21547634,36.82236966,60.46834492,82.57027017,53.08622569,101.9787609,62.20811861,120.4318973,76.18770981,137.4624261,48.32445032,93.0713008,84.08666572,138.0524849,93.11172907,70.65604508,123.1611742, 44.04174633055481]
impressionism_22.jpg2,['#d6d8d1', (214,216, 209),86.09327221,32.64229311,9.112183175,14.48054573,85.85000713,109.0788643,64.39191664,94.02457989,78.99433954,116.1803038,47.81486644,49.56284348,111.3092518,147.6536206,80.80547351,91.87584796,121.6304334, 67.74220244380719]
impressionism_13.jpg2,['#dddac5', (221,218, 197),87.46799058,34.96491561,14.25951722,17.20585713,84.01563955,105.5790995,58.65194139,86.53231669,74.80740917,110.6750128,50.42686074,52.04643359,116.7800083,153.9686007,74.15964058,96.20002291,126.3894583, 64.71976361817424]
impressionism_5.jpg1,['#dadad6', (218,218, 214),86.97435022,33.4296472,9.478115956,13.21699637,86.32755339,109.1920231,66.13598803,95.3855388,80.96849316,117.909185,48.96376304,50.20070643,110.6406279,146.3983748,81.72844169,91.12395002,120.1784742, 68.62029889739497]
impressionism_27.jpg3,['#584736', (88,71, 54),34.3115871,26.02772215,48.23511279,69.8996234,50.644043,95.58919847,51.2883646,107.8744716,68.82303523,127.7290092,43.019637,83.9855674,90.69496015,142.066922,81.39162207,73.58502073,122.7682708, 36.12304303289588]
